Drug Name,Salt,Dosage Form,Strengh,Route of Admin,ATC Code,Ingredient,Approved clinical indications,Access level,Remarks,Date,,
A.C.A,,TABLET,,ORAL,N02BE51,Acetaminophen 162.5mg+caffeine 32.5mg+ASA 325mg,,OTC medicines,,,,
A.C.A,,TABLET,,ORAL,N02BE51,Acetaminophen 250mg+caffeine 65mg+ASA 250mg,,OTC medicines            ,,1387/05/06       ,,
Abacavir,AS Sulfate,TABLET,300 mg,ORAL,J05AF06,,Treatment of AIDS related complex.,For Health Dept. of MOH only,,1393/10/14,,
Abacavir,As Sulfate,SOLUTION,20mg/ml,ORAL,J05AF06,,Treatment of AIDS related complex.,For Health Dept. of MOH only,,1394/03/31,,
Abacavir+Lamivudine,,TABLET,,ORAL,J05AR02,Abacavir as Sulfate 600 mg+Lamivudine 300 mg,Treatment of AIDS related complex.,For Health Dept. of MOH only,,1397/02/11,,
Abacavir+Lamivudine,,TABLET,,ORAL,J05AR02,Abacavir as Hydrochloride 600 mg+Lamivudine 300 mg,Treatment of AIDS related complex.,For Health Dept. of MOH only,,1397/02/30,,
Abciximab,,INJECTION,2 mg/ml,PARENTERAL,B01AC13,,,Hospital only,,1385/03/30,,
Abiraterone,Acetate,TABLET,250 mg,ORAL,L02BX03,,Metastic castration resistant prostate cancer,,,1396/11/29,,
Abiraterone,Acetate,TABLET,500 mg,ORAL,L02BX03,,Metastic castration resistant prostate cancer,,,1396/11/29,,
Acamprosate ,As Calcium ,"TABLET, DELAYED RELEASE",300 mg,ORAL,N07BB03  ,,,,,1393/03/04,,
Acarbose,,TABLET,100 mg,ORAL,A10BF01,,,,,1382/03/04 ,,
Acarbose,,TABLET,50 mg,ORAL,A10BF01,,,,,1382/03/04 ,,
Acetaminophen,,"INJECTION, SOLUTION",10 mg/ml,INTRAVENOUS,N02BE01,,,Hospital only,,1386/03/23,,
Acetaminophen,,TABLET,325 mg,ORAL,N02BE01,,,OTC medicines,,1385/11/4 ,,
Acetaminophen,,SUSPENSION,100 mg/ml,ORAL,N02BE01,,,OTC medicines,,1385/11/18,,
Acetaminophen,,SOLUTION,100 mg/ml,ORAL,N02BE01,,,OTC medicines,,1372/06/20,,
Acetaminophen,,SUSPENSION,120 mg/5ml,ORAL,N02BE01,,,OTC medicines,,1369/08/02,,
Acetaminophen,,SUSPENSION,160mg/ 5ml,ORAL,N02BE01,,,OTC medicines,,1398/11/28,,
Acetaminophen,,SOLUTION,120 mg/5ml,ORAL,N02BE01,,,OTC medicines,,,,
Acetaminophen,,"TABLET,  ORALLY DISINTEGRATING",125 mg,ORAL,N02BE01,,,OTC medicines,for local production only ,1389/07/17,,
Acetaminophen,,SUPPOSITORY,125 mg,RECTAL,N02BE01,,,OTC medicines,,1369/10/30,,
Acetaminophen,,SUPPOSITORY,75 mg,RECTAL,N02BE01,,,OTC medicines,,1396/12/08,,
Acetaminophen,,"INJECTION, SOLUTION, CONCENTRATE",150 mg/ml,INTRAVENOUS DRIP,N02BE01,,,Hospital only,,,,
Acetaminophen,,"TABLET, DISPERSIBLE",160 mg,ORAL,N02BE01,,,OTC medicines,,1389/06/29,,
Acetaminophen,,"TABLET, ORALLY DISINTEGRATING",250 mg,ORAL,N02BE01,,,OTC medicines,for local production only ,1389/07/17,,
Acetaminophen,,SUPPOSITORY,325 mg,RECTAL,N02BE01,,,OTC medicines,,1369/10/30,,
Acetaminophen,,TABLET,325 mg,ORAL,N02BE01,,,OTC medicines,,1369/10/30,,
Acetaminophen,,"TABLET, ORALLY DISINTEGRATING",500 mg,ORAL,N02BE01,,,OTC medicines,for local production only ,1389/07/17,,
Acetaminophen,,"TABLET, EFFERVESCENT",500 mg,ORAL,N02BE01,,,OTC medicines,,1387/05/16 ,,
Acetaminophen,,TABLET,500 mg,ORAL,N02BE01,,,OTC medicines,,1369/10/30,,
Acetaminophen,,"CAPSULE, LIQUID FILLED",500 mg,ORAL,N02BE01,,,OTC medicines,,1385/08/17,,
Acetaminophen,,"CAPSULE, LIQUID FILLED",325 mg,ORAL,N02BE01,,,OTC medicines,,1395/09/13,,
Acetaminophen,,"TABLET, DISPERSIBLE",80 mg,ORAL,N02BE01,,,OTC medicines,,1386/12/06 ,,
Acetaminophen,,POWDER  ,160 mg,ORAL,N02BE01,,,OTC medicines,Sachet,1398/09/19,,
Acetaminophen,,"TABLET, EXTENDED RELEASE",650 mg,ORAL,N02BE01,,,OTC medicines,,1399/12/26,,
Acetaminophen + Tramadol HCl,,TABLET,,ORAL,N02AJ13,Acetaminophen 325 mg+ Tramadol HCl 37.5 mg,,"Accessible only in Hospital, Universities and Elected Pharmacies,Narcotic medicines; Should be labelled as under control medicines",,1400/06/16,,
Acetaminophen+ Chlorpheniramine+ Dextromethorphan+ Phenylephrine+Ascorbic acid,,TABLET,,ORAL,R05X, Acetaminophen 500 mg+ Chlorpheniramine maleate 2 mg+ Dextromethorphan HBr 15 mg+ Phenylephrine Hcl 5 mg+Ascorbic acid 38 mg,,, ,1399/12/26,,
Acetaminophen+Caffeine,,TABLET,,ORAL,N02BE51,Acetaminophen 500mg + Caffeine 65 mg ,,OTC medicines,,1387/07/07,,
Acetaminophen+Caffeine,,"TABLET, EFFERVESCENT",,ORAL,N02BE51,Acetaminophen 500mg + Caffeine 65 mg ,,OTC medicines,,1396/04/31,,
Acetaminophen+Caffeine+ Chlorpheniramine+Vitamin C,,CAPSULE,,ORAL,R05X,Acetaminophen 200 mg+ Caffeine 25 mg+Chlorpheniramine Maleate 2.5 mg+Vitamine C 150 mg,,OTC medicines,,1396/12/08,,
Acetaminophen+Caffeine+Codeine ,,TABLET,,ORAL,N02BE51,Acetaminophen300mg + Caffeine 15 mg+ Codeine phosphate 15 mg,,,,1395/02/02,,
Acetaminophen+Caffeine+Ibuprofen,,"CAPSULE, LIQUID FILLED",,ORAL,N02BE71,Acetaminophen 325mg + Caffeine 40 mg+ Ibuprofen 200mg,,OTC medicines,,1390/07/04,,
Acetaminophen+Caffeine+Ibuprofen,,CAPSULE,,ORAL,N02BE71,Acetaminophen 325mg + Caffeine 40 mg+ Ibuprofen 200mg,,OTC medicines,,1385/02/12,,
Acetaminophen+Caffeine+Ibuprofen,,TABLET,,ORAL,N02BE71,Acetaminophen 325mg + Caffeine 40 mg+ Ibuprofen 200mg,,OTC medicines,,1399/12/26,,
Acetaminophen+Chlorpheniramine+ Dextrometorphan+Phenylephrine,,SYRUP,,ORAL,R05X,(Acetaminophen160 mg/Chlorpheniramine Maleate 1 mg/DextrometorphanHBr 5 mg/Phenylephrine HCl 2.5mg)/5ml,,OTC medicines,,1392/09/25,,
Acetaminophen+Codeine,,"CAPSULE, LIQUID FILLED",,ORAL,N02BE71,Acetaminophen 300mg + Codeine Phosphate 20mg,,,,1393/10/14,,
Acetaminophen+Codeine,,TABLET,,ORAL,N02BE71,Acetaminophen 300mg + Codeine Phosphate 20mg,,,,1393/10/14,,
Acetaminophen+Diphenhydramine+ Phenylephrine,,SYRUP,,ORAL,R05X,(Acetaminophen 160 mg/DiphenhydramineHCl 12.5mg/phenylephrine HCl 2.5 mg)/5ml,,OTC medicines,,1391/06/13,,
Acetaminophen+Guaifensine+ Phenylephrine,,SYRUP,,ORAL,R05X,Acetaminophen 125/Guaifenesine 50mg/phenylephrine 2.5/5ml,,OTC medicines,,1392/05/01,,
Acetaminophen+Ibuprofen,,TABLET,,ORAL,N02BE51 ,Acetaminophen 500 mg+Ibuprofen 200 mg,,OTC medicines,,1397/04/03,,
Acetaminophen+Oxycodone,,TABLET,,ORAL,N02AJ17,Acetaminophen 325mg + Oxycodone Hydrochloride 5 mg,,"Accessible only in Hospital, Universities and Elected Pharmacies,Narcotic medicines; Should be labelled as under control  medicines",( زرد)   تحت کنترل ,1397/02/02,,
Acetaminophen+Oxycodone,,TABLET,,ORAL,N02AJ17,Acetaminophen 325mg + Oxycodone Hydrochloride 10 mg,,"Accessible only in Hospital, Universities and Elected Pharmacies,Narcotic medicines; Should be labelled as under control medicines ",( زرد)   تحت کنترل ,1397/02/02,,
Acetazolamide,,TABLET,250 mg,ORAL,S01EC01,,,,,,,
Acetazolamide,As Sodium,"INJECTION, POWDER",500 mg,PARENTERAL,S01EC01,,,Hospital only,,,,
Acetylcholine,Chloride,INJECTION,1%,OPHTHALMIC,S01EB09,,,Hospital only,,1360/09/15,,
Acetylcysteine,,SOLUTION,100 mg/ml,RESPIRATORY,R05CB01,,,Hospital only,Nebulisation,1393/10/14,,
Acetylcysteine,,"SOLUTION, CONCENTRATE",20%,ORAL,R05CB01,,,,,1397/02/11,,
Acetylcysteine,,SOLUTION,10%,ORAL,R05CB01,,,,,1397/02/11,,
Acetylcysteine,,TABLET,200 mg,ORAL,R05CB01,,,,,1378/05/10    ,,
Acetylcysteine,,TABLET,600 mg,ORAL,R05CB01,,Mucolytic,,,1395/06/31,,
Acetylcysteine,,"TABLET, EFFERVESCENT",200 mg,ORAL,R05CB01,,,,,1386/08/09,,
Acetylcysteine,,INJECTION,200 mg/ml,PARENTERAL,V03AB23,,,Hospital only,,,,
Acetylcysteine,,INJECTION,100 mg/ml,PARENTERAL,V03AB23,,,Hospital only,,1395/12/07,,
Acetylcysteine,,POWDER  ,600 mg,ORAL,R05CB01,,,,Sachet,1388/03/13,,
Acetylcysteine,,GRANULE,100 mg,ORAL,R05CB01,,,,Sachet,1397/02/11,,
Acetylcysteine,,GRANULE,200 mg,ORAL,R05CB01,,,,Sachet,1397/02/11,,
Acetylcysteine,,"TABLET, EFFERVESCENT",600 mg,ORAL,R05CB01,,,,,1380/06/25,,
Acetylcysteine+Ascorbic Acid,,POWDER,,ORAL,R05CB,(Acetylcysteine 600mg + Vitamin C 75mg)/sachet,,,,1387/03/08,,
Acetylsalicylic acid+Clopidogrel (as Bisulfate),,TABLET,,ORAL,B01AC, acetylsalicylic acid 75 mg+Clopidogrel ( as Bisulfate) 75 mg,,,,1400/02/15,,
Acetylsalicylic acid+Clopidogrel (as Bisulfate),,TABLET,,ORAL,B01AC, acetylsalicylic acid 100 mg+Clopidogrel ( as Bisulfate) 75 mg,,,,1400/02/15,,
Aciclovir,,OINTMENT,0.03,OPHTHALMIC,S01AD03,,,,,1363/10/02,,
Aciclovir,,CREAM,5%,TOPICAL,D06BB03,,,,,1363/10/02,,
Aciclovir,,TABLET,200 mg,ORAL,J05AB01,,,,,1363/10/02,,
Aciclovir,,"INJECTION, POWDER, LYOPHILIZED",250 mg,PARENTERAL,J05AB01,,,Hospital only,,1363/10/02,,
Aciclovir,,TABLET,400 mg,ORAL,J05AB01,,,,,1371/08/24 ,,
Aciclovir,,"INJECTION, POWDER",500 mg,PARENTERAL,J05AB01,,, Hospital only,,1382/04/29,,
Aciclovir,,TABLET,800 mg,ORAL,J05AB01,,,,,1387/05/06      ,,
Aciclovir,,SUSPENSION,200MG/5ML,ORAL,J05AB01,,,,,1399/04/17,,
Aciclovir,," POWDER, FOR SUSPENSION",200 mg ,ORAL,J05AB01,,,,,1402/08/08,,
Aciclovir + Hydrocortisone,,CREAM,,TOPICAL,D06BB53 , Aciclovir  5% + Hydrocortisone 1%,,,,1400/03/19,,
Acitretin,,CAPSULE,10 mg,ORAL,D05BB02,,,,,1376/03/11  ,,
Acitretin,,CAPSULE,25 mg,ORAL,D05BB02,,,,,1376/03/11,,
Aclidinium,As Bromide,"INHALATION, POWDER",322 mcg/dose,RESPIRATORY,R03BB05,,,,,1397/11/14,,
Aclidinium+Formoterol,,"INHALATION, POWDER",,RESPIRATORY,R03AL05,(Aclidinium Bromide 396 mcg+Formoterol Fumarate Dihydrate 11.8 mcg)/ dose,,,,1396/09/12,,
Activated Prothrombin Complex (concentrated),,"INJECTION, POWDER, LYOPHILIZED",1000 U,PARENTERAL,B02BD03,,,Hospital only,,,,
Activated Prothrombin Complex (concentrated),,"INJECTION, POWDER, LYOPHILIZED",500U,PARENTERAL,B02BD03,,,Hospital only,,,,
Adalimumab,,"INJECTION, SOLUTION",40mg/0.8ml,PARENTERAL,L04AB04,,,,,1391/12/23,,
Adapalene,,CREAM,0.1%,TOPICAL,D10AD03,,,,,1384/12/09  ,,
Adapalene,,GEL,0.1%,TOPICAL,D10AD03,,,OTC medicines,,1383/09/02,,
Adapalene,,LOTION,0.1%,TOPICAL,D10AD03,,,,,1386/01/22,,
Adapalene,,SOLUTION,0.1%,TOPICAL,D10AD03,,,,,1383/02/13 ,,
Adapalene,,GEL,0.3%,TOPICAL,D10AD03,,,,,1397/02/02,,
Adapalene+Benzoyl Peroxide,,GEL,,TOPICAL,D10AD53,Adapalene 0.1%+Benzoyl Peroxide 2.5%,,,,1396/11/29,ورود به فهرست,
Adefovir,Dipivoxil,TABLET,10 mg,ORAL,J05AF08,,,,,1385/02/12,,
Adenosine,,INJECTION,3 mg/ml,PARENTERAL,C01EB10,,,Hospital only,,1377/11/18   ,,
Adult Cold Preparations_1: (Decongestant+ Analgesic),,"CAPSULE, LIQUID FILLED ",,ORAL,R05X,"As  Decongestant: Phenylephrine HCl (5, 10 mg) or Pseudoephedrine HCl (30mg ,120mg) ,As Analgesic: Acetaminophen ( 250,325, 500, 650 mg) or Ibuprofen(200mg) or Naproxen sodium( 200mg)",,OTC medicines,"The combinations to be exist in international Pharmacopoeia , if 120 mg Pseudoephedrine is in formulation it would be extended release",1388/10/30 ,,
Adult Cold Preparations_1: (Decongestant+ Analgesic),,POWDER FOR SOLUTION ,,ORAL,R05X,"As  Decongestant: Phenylephrine HCl (5, 10 mg) or Pseudoephedrine HCl (30mg ,120mg) ,As Analgesic: Acetaminophen ( 250,325, 500, 650 mg) or Ibuprofen(200mg) or Naproxen sodium( 200mg)",,OTC medicines,"The combinations to be exist in international Pharmacopoeia , if 120 mg Pseudoephedrine is in formulation it would be extended release",1397/04/30,,
Adult Cold Preparations_1: (Decongestant+ Analgesic),,TABLET,,ORAL,R05X,"As  Decongestant: Phenylephrine HCl (5, 10 mg) or Pseudoephedrine HCl (30mg ,120mg) ,As Analgesic: Acetaminophen ( 250,325, 500, 650 mg) or Ibuprofen(200mg) or Naproxen sodium( 200mg)",,OTC medicines,"The combinations to be exist in international Pharmacopoeia, if 120 mg Pseudoephedrine is in formulation it would be extended release",1388/10/30 ,,
Adult Cold Preparations_2: (Decongestant + Expectorant+ Analgesic),,"CAPSULE, LIQUID FILLED",,ORAL,R05X,"As Decongestant:  Pseudoephedrine HCl (30 mg),As Expectorant : Guaifenesin ( 200 mg), As Analgesic:  Acetaminophen ( 325 mg)",,OTC medicines, The combinations to be exist in international Pharmacopoeia, 1388/05/07,,
Adult Cold Preparations_2: (Decongestant + Expectorant+ Analgesic),,TABLET,,ORAL,R05X,"As Decongestant:  Pseudoephedrine HCl (30 mg),As Expectorant : Guaifenesin ( 200 mg), As Analgesic:  Acetaminophen ( 325 mg)",,OTC medicines,The combinations to be exist in international Pharmacopoeia, 1388/05/07,,
Adult Cold Preparations_3: (Antihistamine + Analgesic ),,TABLET,,ORAL,R05X,"As Antihistamine: Chlorpheniramine maleate(2mg) or Diphenhydramine HCl (12.5 ,25mg), As Analgesic : Acetaminophen ( 325, 500 mg) or Ibuprofen (200 mg)",,OTC medicines,The combinations to be exist in international Pharmacopoeia, 1388/05/07,,
